,,{uniform;explicit;math},
asset,rep_period,specification,partition
NO_Pump_Hydro_Open,1,uniform,1
NO_PEMEC,1,uniform,1
NO_PEMFC,1,uniform,1
NO_H2Tank,1,uniform,1
ES_E_Balance,1,uniform,3
ES_E_Demand,1,uniform,3
ES_E_ENS,1,uniform,3
ES_Wind_Onshore,1,uniform,3
ES_Wind_Offshore,1,uniform,3
ES_Solar,1,uniform,3
ES_Hydro,1,uniform,3
ES_Hydro_Reservoir,1,uniform,3
ES_Nuclear,1,uniform,3
ES_Battery,1,uniform,3
ES_Pump_Hydro_Closed,1,uniform,3
ES_Pump_Hydro_Open,1,uniform,3
ES_H_Demand,1,uniform,3
ES_Blue_Hydrogen,1,uniform,3
ES_PEMEC,1,uniform,3
ES_PEMFC,1,uniform,3
ES_H2Tank,1,uniform,3
PT_E_Balance,1,uniform,4
PT_E_Demand,1,uniform,4
PT_E_ENS,1,uniform,4
PT_Wind_Onshore,1,uniform,4
PT_Wind_Offshore,1,uniform,4
PT_Solar,1,uniform,4
PT_Hydro,1,uniform,4
PT_Hydro_Reservoir,1,uniform,4
PT_Battery,1,uniform,4
PT_Pump_Hydro_Open,1,uniform,4
PT_PEMEC,1,uniform,4
PT_PEMFC,1,uniform,4
PT_H2Tank,1,uniform,4
IT_E_Balance,1,uniform,3
IT_E_Demand,1,uniform,3
IT_E_ENS,1,uniform,3
IT_Wind_Onshore,1,uniform,3
IT_Wind_Offshore,1,uniform,3
IT_Solar,1,uniform,3
IT_Hydro,1,uniform,3
IT_Hydro_Reservoir,1,uniform,3
IT_Battery,1,uniform,3
IT_Pump_Hydro_Closed,1,uniform,3
IT_Pump_Hydro_Open,1,uniform,3
IT_H_Demand,1,uniform,3
IT_Blue_Hydrogen,1,uniform,3
IT_PEMEC,1,uniform,3
IT_PEMFC,1,uniform,3
IT_H2Tank,1,uniform,3
MT_E_Balance,1,uniform,4
MT_E_Demand,1,uniform,4
MT_E_ENS,1,uniform,4
MT_Solar,1,uniform,4
MT_Battery,1,uniform,4
MT_PEMEC,1,uniform,4
MT_PEMFC,1,uniform,4
MT_H2Tank,1,uniform,4
SI_E_Balance,1,uniform,3
SI_E_Demand,1,uniform,3
SI_E_ENS,1,uniform,3
SI_Wind_Onshore,1,uniform,3
SI_Solar,1,uniform,3
SI_Hydro,1,uniform,3
SI_Nuclear,1,uniform,3
SI_Battery,1,uniform,3
SI_Pump_Hydro_Closed,1,uniform,3
SI_PEMEC,1,uniform,3
SI_PEMFC,1,uniform,3
SI_H2Tank,1,uniform,3
HU_E_Balance,1,uniform,3
HU_E_Demand,1,uniform,3
HU_E_ENS,1,uniform,3
HU_Wind_Onshore,1,uniform,3
HU_Solar,1,uniform,3
HU_Hydro,1,uniform,3
HU_Nuclear,1,uniform,3
HU_Battery,1,uniform,3
HU_H_Demand,1,uniform,3
HU_Blue_Hydrogen,1,uniform,3
HU_PEMEC,1,uniform,3
HU_PEMFC,1,uniform,3
HU_H2Tank,1,uniform,3
SK_E_Balance,1,uniform,3
SK_E_Demand,1,uniform,3
SK_E_ENS,1,uniform,3
SK_Wind_Onshore,1,uniform,3
SK_Solar,1,uniform,3
SK_Hydro,1,uniform,3
SK_Hydro_Reservoir,1,uniform,3
SK_Nuclear,1,uniform,3
SK_Battery,1,uniform,3
SK_Pump_Hydro_Closed,1,uniform,3
SK_Pump_Hydro_Open,1,uniform,3
SK_PEMEC,1,uniform,3
SK_PEMFC,1,uniform,3
SK_H2Tank,1,uniform,3
LT_E_Balance,1,uniform,3
LT_E_Demand,1,uniform,3
LT_E_ENS,1,uniform,3
LT_Wind_Onshore,1,uniform,3
LT_Wind_Offshore,1,uniform,3
LT_Solar,1,uniform,3
LT_Hydro,1,uniform,3
LT_Battery,1,uniform,3
LT_Pump_Hydro_Closed,1,uniform,3
LT_PEMEC,1,uniform,3
LT_PEMFC,1,uniform,3
LT_H2Tank,1,uniform,3
LV_E_Balance,1,uniform,4
LV_E_Demand,1,uniform,4
LV_E_ENS,1,uniform,4
LV_Wind_Onshore,1,uniform,4
LV_Wind_Offshore,1,uniform,4
LV_Solar,1,uniform,4
LV_Hydro,1,uniform,4
LV_Battery,1,uniform,4
LV_PEMEC,1,uniform,4
LV_PEMFC,1,uniform,4
LV_H2Tank,1,uniform,4
EE_E_Balance,1,uniform,4
EE_E_Demand,1,uniform,4
EE_E_ENS,1,uniform,4
EE_Wind_Onshore,1,uniform,4
EE_Wind_Offshore,1,uniform,4
EE_Solar,1,uniform,4
EE_Battery,1,uniform,4
EE_PEMEC,1,uniform,4
EE_PEMFC,1,uniform,4
EE_H2Tank,1,uniform,4
FI_E_Balance,1,uniform,3
FI_E_Demand,1,uniform,3
FI_E_ENS,1,uniform,3
FI_Wind_Onshore,1,uniform,3
FI_Wind_Offshore,1,uniform,3
FI_Solar,1,uniform,3
FI_Hydro_Reservoir,1,uniform,3
FI_Nuclear,1,uniform,3
FI_Battery,1,uniform,3
FI_H_Demand,1,uniform,3
FI_Blue_Hydrogen,1,uniform,3
FI_PEMEC,1,uniform,3
FI_PEMFC,1,uniform,3
FI_H2Tank,1,uniform,3
HR_E_Balance,1,uniform,4
HR_E_Demand,1,uniform,4
HR_E_ENS,1,uniform,4
HR_Wind_Onshore,1,uniform,4
HR_Solar,1,uniform,4
HR_Hydro,1,uniform,4
HR_Hydro_Reservoir,1,uniform,4
HR_Battery,1,uniform,4
HR_Pump_Hydro_Open,1,uniform,4
HR_PEMEC,1,uniform,4
HR_PEMFC,1,uniform,4
HR_H2Tank,1,uniform,4
GR_E_Balance,1,uniform,4
GR_E_Demand,1,uniform,4
GR_E_ENS,1,uniform,4
GR_Wind_Onshore,1,uniform,4
GR_Wind_Offshore,1,uniform,4
GR_Solar,1,uniform,4
GR_Hydro,1,uniform,4
GR_Hydro_Reservoir,1,uniform,4
GR_Battery,1,uniform,4
