,{producer;consumer;storage;hub;conversion},{true;false},{true;false},{true;false},kEUR/MW/year,MW,MW,MW,MW,{true;false},MWh/year,MWh,MWh,h
name,type,active,investable,investment_integer,investment_cost,investment_limit,capacity,initial_capacity,peak_demand,is_seasonal,storage_inflows,initial_storage_capacity,initial_storage_level,energy_to_power_ratio
FR_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
DK_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
DK_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,9633.0,False,0,0.0,0.0,0
DK_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
DK_Wind_Onshore,producer,True,True,False,77356.32865703155,6157.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
DK_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
DK_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
DK_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
DK_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,314.5833333333333,False,0,0.0,,0
DK_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
DK_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
DK_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
DK_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
UK_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
UK_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,61936.0,False,0,0.0,0.0,0
UK_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
UK_Wind_Onshore,producer,True,True,False,77356.32865703155,26590.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
UK_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
UK_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
UK_Hydro,producer,True,False,False,0.0,,4839.0,4839.0,0.0,False,0,0.0,0.0,0
UK_Nuclear,producer,True,False,False,0.0,,9328.0,9328.0,0.0,False,0,0.0,0.0,0
UK_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
UK_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,2744.0,0.0,False,2744,26400.0,13200.0,0
UK_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
UK_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
UK_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
IE_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
IE_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,6280.0,False,0,0.0,0.0,0
IE_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
IE_Wind_Onshore,producer,True,True,False,77356.32865703155,5800.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
IE_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
IE_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
IE_Hydro,producer,True,False,False,0.0,,508.0,508.0,0.0,False,0,0.0,0.0,0
IE_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
IE_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,292.0,0.0,False,292,1700.0,850.0,0
