,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
UK_E_Balance,UK_Battery,1,uniform,4
UK_Battery,UK_E_Demand,1,uniform,4
UK_Battery,UK_PEMEC,1,uniform,4
UK_E_Balance,UK_Pump_Hydro_Closed,1,uniform,4
UK_Pump_Hydro_Closed,UK_E_Balance,1,uniform,4
UK_E_Balance,UK_PEMEC,1,uniform,4
UK_PEMEC,UK_H2Tank,1,uniform,4
UK_PEMFC,UK_E_Demand,1,uniform,4
UK_H2Tank,UK_PEMFC,1,uniform,4
IE_E_Balance,UK_E_Demand,1,uniform,4
UK_E_Balance,IE_E_Demand,1,uniform,4
IE_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,IE_E_Demand,1,uniform,4
IE_E_Balance,IE_E_Demand,1,uniform,4
IE_E_ENS,IE_E_Demand,1,uniform,4
IE_Wind_Onshore,IE_E_Balance,1,uniform,4
IE_Wind_Offshore,IE_E_Balance,1,uniform,4
IE_Solar,IE_E_Balance,1,uniform,4
IE_Hydro,IE_E_Balance,1,uniform,4
IE_E_Balance,IE_Battery,1,uniform,4
IE_Battery,IE_E_Demand,1,uniform,4
IE_Battery,IE_PEMEC,1,uniform,4
IE_E_Balance,IE_Pump_Hydro_Closed,1,uniform,4
IE_Pump_Hydro_Closed,IE_E_Balance,1,uniform,4
IE_E_Balance,IE_PEMEC,1,uniform,4
IE_PEMEC,IE_H2Tank,1,uniform,4
IE_PEMFC,IE_E_Demand,1,uniform,4
IE_H2Tank,IE_PEMFC,1,uniform,4
CH_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,CH_E_Demand,1,uniform,4
CH_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,CH_E_Demand,1,uniform,4
CH_E_Balance,CH_E_Demand,1,uniform,4
CH_E_ENS,CH_E_Demand,1,uniform,4
CH_Wind_Onshore,CH_E_Balance,1,uniform,4
CH_Solar,CH_E_Balance,1,uniform,4
CH_Hydro,CH_E_Balance,1,uniform,4
CH_Nuclear,CH_E_Balance,1,uniform,4
CH_E_Balance,CH_Battery,1,uniform,4
CH_Battery,CH_E_Demand,1,uniform,4
CH_Battery,CH_PEMEC,1,uniform,4
CH_E_Balance,CH_Pump_Hydro_Closed,1,uniform,4
CH_Pump_Hydro_Closed,CH_E_Balance,1,uniform,4
CH_E_Balance,CH_Pump_Hydro_Open,1,uniform,4
CH_Pump_Hydro_Open,CH_E_Balance,1,uniform,4
CH_E_Balance,CH_PEMEC,1,uniform,4
CH_PEMEC,CH_H2Tank,1,uniform,4
