,,{uniform;explicit;math},
asset,rep_period,specification,partition
NL_E_Balance,1,uniform,5
NL_E_Demand,1,uniform,5
NL_E_ENS,1,uniform,5
NL_Wind_Onshore,1,uniform,5
NL_Wind_Offshore,1,uniform,5
NL_Solar,1,uniform,5
NL_Battery,1,uniform,5
NL_H_Demand,1,uniform,5
NL_Blue_Hydrogen,1,uniform,5
NL_PEMEC,1,uniform,5
NL_PEMFC,1,uniform,5
NL_H2Tank,1,uniform,5
BE_E_Balance,1,uniform,5
BE_E_Demand,1,uniform,5
BE_E_ENS,1,uniform,5
BE_Wind_Onshore,1,uniform,5
BE_Wind_Offshore,1,uniform,5
BE_Solar,1,uniform,5
BE_Hydro,1,uniform,5
BE_Battery,1,uniform,5
BE_H_Demand,1,uniform,5
BE_Blue_Hydrogen,1,uniform,5
BE_PEMEC,1,uniform,5
BE_PEMFC,1,uniform,5
BE_H2Tank,1,uniform,5
DE_E_Balance,1,uniform,5
DE_E_Demand,1,uniform,5
DE_E_ENS,1,uniform,5
DE_Wind_Onshore,1,uniform,5
DE_Wind_Offshore,1,uniform,5
DE_Solar,1,uniform,5
DE_Hydro,1,uniform,5
DE_Hydro_Reservoir,1,uniform,5
DE_Battery,1,uniform,5
DE_Pump_Hydro_Closed,1,uniform,5
DE_Pump_Hydro_Open,1,uniform,5
DE_H_Demand,1,uniform,5
DE_Blue_Hydrogen,1,uniform,5
DE_PEMEC,1,uniform,5
DE_PEMFC,1,uniform,5
DE_H2Tank,1,uniform,5
FR_E_Balance,1,uniform,5
FR_E_Demand,1,uniform,5
FR_E_ENS,1,uniform,5
FR_Wind_Onshore,1,uniform,5
FR_Wind_Offshore,1,uniform,5
FR_Solar,1,uniform,5
FR_Hydro,1,uniform,5
FR_Hydro_Reservoir,1,uniform,5
FR_Nuclear,1,uniform,5
FR_Battery,1,uniform,5
FR_Pump_Hydro_Closed,1,uniform,5
FR_Pump_Hydro_Open,1,uniform,5
FR_H_Demand,1,uniform,5
FR_Blue_Hydrogen,1,uniform,5
FR_PEMEC,1,uniform,5
FR_PEMFC,1,uniform,5
FR_H2Tank,1,uniform,5
DK_E_Balance,1,uniform,5
DK_E_Demand,1,uniform,5
DK_E_ENS,1,uniform,5
DK_Wind_Onshore,1,uniform,5
DK_Wind_Offshore,1,uniform,5
DK_Solar,1,uniform,5
DK_Battery,1,uniform,5
DK_H_Demand,1,uniform,5
DK_Blue_Hydrogen,1,uniform,5
DK_PEMEC,1,uniform,5
DK_PEMFC,1,uniform,5
DK_H2Tank,1,uniform,5
UK_E_Balance,1,uniform,5
UK_E_Demand,1,uniform,5
UK_E_ENS,1,uniform,5
UK_Wind_Onshore,1,uniform,5
UK_Wind_Offshore,1,uniform,5
UK_Solar,1,uniform,5
UK_Hydro,1,uniform,5
UK_Nuclear,1,uniform,5
UK_Battery,1,uniform,5
UK_Pump_Hydro_Closed,1,uniform,5
UK_PEMEC,1,uniform,5
UK_PEMFC,1,uniform,5
UK_H2Tank,1,uniform,5
IE_E_Balance,1,uniform,5
IE_E_Demand,1,uniform,5
IE_E_ENS,1,uniform,5
IE_Wind_Onshore,1,uniform,5
IE_Wind_Offshore,1,uniform,5
IE_Solar,1,uniform,5
IE_Hydro,1,uniform,5
IE_Battery,1,uniform,5
IE_Pump_Hydro_Closed,1,uniform,5
IE_PEMEC,1,uniform,5
IE_PEMFC,1,uniform,5
IE_H2Tank,1,uniform,5
CH_E_Balance,1,uniform,5
CH_E_Demand,1,uniform,5
CH_E_ENS,1,uniform,5
