,asset_name,asset_name,{true;false},{true;false},{true;false},{true;false},kEUR/MWh,kEUR/MW/year,MW,MW,MW,MW,p.u.
carrier,from_asset,to_asset,active,is_transport,investable,investment_integer,variable_cost,investment_cost,investment_limit,capacity,initial_export_capacity,initial_import_capacity,efficiency
electricity,FR_E_Balance,DE_E_Demand,True,True,False,False,70,2.6957550984694505,,1000,1500,0,0.9
electricity,DE_E_Balance,FR_E_Demand,True,True,False,False,70,2.6957550984694505,,1000,1500,0,0.9
electricity,FR_E_Balance,BE_E_Demand,True,True,False,False,47,2.6957550984694505,,1000,1000,0,0.9
electricity,BE_E_Balance,FR_E_Demand,True,True,False,False,47,2.6957550984694505,,1000,1000,0,0.9
electricity,FR_E_Balance,FR_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,FR_E_ENS,FR_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,FR_Wind_Onshore,FR_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,FR_Wind_Offshore,FR_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
electricity,FR_Solar,FR_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,FR_Hydro,FR_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,FR_Hydro_Reservoir,FR_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,FR_Nuclear,FR_E_Balance,True,False,True,False,11.5,0.0,,1000,0,0,1.0
electricity,FR_E_Balance,FR_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,FR_Battery,FR_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,FR_Battery,FR_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,FR_E_Balance,FR_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,FR_Pump_Hydro_Closed,FR_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,FR_E_Balance,FR_Pump_Hydro_Open,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,FR_Pump_Hydro_Open,FR_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
hydrogen,FR_Blue_Hydrogen,FR_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
electricity,FR_E_Balance,FR_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,FR_PEMEC,FR_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,FR_PEMEC,FR_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,FR_PEMFC,FR_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,FR_H2Tank,FR_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,FR_H2Tank,FR_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,DK_E_Balance,DE_E_Demand,True,True,False,False,51,2.6957550984694505,,1000,600,0,0.9
electricity,DE_E_Balance,DK_E_Demand,True,True,False,False,51,2.6957550984694505,,1000,600,0,0.9
electricity,DK_E_Balance,NL_E_Demand,True,True,False,False,48,2.6957550984694505,,1000,700,0,0.9
electricity,NL_E_Balance,DK_E_Demand,True,True,False,False,48,2.6957550984694505,,1000,700,0,0.9
electricity,DK_E_Balance,DK_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,DK_E_ENS,DK_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,DK_Wind_Onshore,DK_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,DK_Wind_Offshore,DK_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
electricity,DK_Solar,DK_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,DK_E_Balance,DK_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,DK_Battery,DK_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,DK_Battery,DK_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
hydrogen,DK_Blue_Hydrogen,DK_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
