,,{uniform;explicit;math},
asset,rep_period,specification,partition
NL_E_Balance,1,uniform,3
NL_E_Demand,1,uniform,3
NL_E_ENS,1,uniform,3
NL_Wind_Onshore,1,uniform,3
NL_Wind_Offshore,1,uniform,3
NL_Solar,1,uniform,3
NL_Battery,1,uniform,3
NL_H_Demand,1,uniform,3
NL_Blue_Hydrogen,1,uniform,3
NL_PEMEC,1,uniform,3
NL_PEMFC,1,uniform,3
NL_H2Tank,1,uniform,3
BE_E_Balance,1,uniform,3
BE_E_Demand,1,uniform,3
BE_E_ENS,1,uniform,3
BE_Wind_Onshore,1,uniform,3
BE_Wind_Offshore,1,uniform,3
BE_Solar,1,uniform,3
BE_Hydro,1,uniform,3
BE_Battery,1,uniform,3
BE_H_Demand,1,uniform,3
BE_Blue_Hydrogen,1,uniform,3
BE_PEMEC,1,uniform,3
BE_PEMFC,1,uniform,3
BE_H2Tank,1,uniform,3
DE_E_Balance,1,uniform,3
DE_E_Demand,1,uniform,3
DE_E_ENS,1,uniform,3
DE_Wind_Onshore,1,uniform,3
DE_Wind_Offshore,1,uniform,3
DE_Solar,1,uniform,3
DE_Hydro,1,uniform,3
DE_Hydro_Reservoir,1,uniform,3
DE_Battery,1,uniform,3
DE_Pump_Hydro_Closed,1,uniform,3
DE_Pump_Hydro_Open,1,uniform,3
DE_H_Demand,1,uniform,3
DE_Blue_Hydrogen,1,uniform,3
DE_PEMEC,1,uniform,3
DE_PEMFC,1,uniform,3
DE_H2Tank,1,uniform,3
FR_E_Balance,1,uniform,3
FR_E_Demand,1,uniform,3
FR_E_ENS,1,uniform,3
FR_Wind_Onshore,1,uniform,3
FR_Wind_Offshore,1,uniform,3
FR_Solar,1,uniform,3
FR_Hydro,1,uniform,3
FR_Hydro_Reservoir,1,uniform,3
FR_Nuclear,1,uniform,3
FR_Battery,1,uniform,3
FR_Pump_Hydro_Closed,1,uniform,3
FR_Pump_Hydro_Open,1,uniform,3
FR_H_Demand,1,uniform,3
FR_Blue_Hydrogen,1,uniform,3
FR_PEMEC,1,uniform,3
FR_PEMFC,1,uniform,3
FR_H2Tank,1,uniform,3
DK_E_Balance,1,uniform,3
DK_E_Demand,1,uniform,3
DK_E_ENS,1,uniform,3
DK_Wind_Onshore,1,uniform,3
DK_Wind_Offshore,1,uniform,3
DK_Solar,1,uniform,3
DK_Battery,1,uniform,3
DK_H_Demand,1,uniform,3
DK_Blue_Hydrogen,1,uniform,3
DK_PEMEC,1,uniform,3
